1462.0776734816843 -1686.61567019373 ; 1445.211516779747 -1701.236446928547 
-296.71995127938544 1253.3546864698333 ; -284.1864044146871 1256.321885982627 
-880.4780687050973 1867.976277076387 ; -861.7983059343334 1876.781057763438 
1531.1643733644469 1107.7489665274404 ; 1542.2418630297213 1092.437322793796 
621.0727637505225 -1259.4947176340183 ; 608.4778165741824 -1265.7054452715236 
-369.2720318414854 -667.7072124218213 ; -375.9491039657036 -664.0144921034064 
-1515.1138575246323 496.38146190462163 ; -1510.1500429055861 511.53260047986794 
-204.70356833033182 1501.319751171375 ; -189.69037081861808 1503.3667868546784 
1079.8935845060187 -786.4293714588962 ; 1072.0292907914297 -797.2283073039564 
-1561.4281338944388 704.311272161156 ; -1554.3850211728272 719.9255535001004 
-434.05772460790195 1043.173607090665 ; -423.6259885369953 1047.514184336744 
11.902994954648282 536.0172391970816 ; 17.2631673466191 535.8982092475351 
-1584.1162991190245 -278.8647022578626 ; -1586.904946141603 -263.02353926667234 
1687.9575578319996 -958.2156284703412 ; 1678.3754015472962 -975.0952040486612 
-871.3282359462329 946.2632763004626 ; -861.8656031832282 954.976558659925 
-1440.6635767687192 -1231.8972069938761 ; -1452.982548838658 -1217.4905712261889 
-1902.3244367099392 -458.29033880449896 ; -1906.9073400979842 -439.2670944373996 
-655.5095061379506 -1904.3693765943485 ; -674.553199903894 -1897.814281532969 
1475.520281940016 -1026.7697230618517 ; 1465.2525847093975 -1041.5249258812519 
-124.4984478487696 1682.1836123917474 ; -107.67661172485212 1683.428596870235 
-400.165194340236 -640.0794039969157 ; -406.56598838020517 -636.0777520535133 
1709.8700754200556 -180.666120745147 ; 1708.0634142126041 -197.76482149934756 
-314.8267635423267 -1166.433849961649 ; -326.4911020419432 -1163.2855823262257 
974.0626949716614 -212.30114624484585 ; 971.939683509213 -222.04177319456247 
-1960.9246703438039 779.3675321597728 ; -1953.1309950222062 798.9767788632109 
1587.3030127408513 581.2102670416258 ; 1593.1151154112674 565.3372369142173 
149.73932092702537 -790.2010192522416 ; 141.83731073450295 -791.6984124615119 
-850.5115169506589 1661.8457587696248 ; -833.8930593629626 1670.3508739391314 
1781.7281991300988 1853.4584647156526 ; 1800.2627837772554 1835.6411827243517 
-1998.02773957193 -1300.0152535215268 ; -2011.0278921071451 -1280.0349761258076 
-1450.1278281511668 189.05526267459646 ; -1448.2372755244207 203.55654095610814 
1912.2029759151017 303.2673750761047 ; 1915.2356496658626 284.1453453169537 
-759.6744251775673 1956.3847066396395 ; -740.1105781111709 1963.981450891415 
1057.2396310206882 -1850.3061852324854 ; 1038.7365691683633 -1860.8785815426922 
-808.841403812701 1719.4608439211422 ; -791.6467953734896 1727.5492579592692 
-1263.0023888604032 -1032.9607405540808 ; -1273.331996265944 -1020.3307166654768 
-1767.7976957193946 1818.5142556504218 ; -1749.6125531628904 1836.1922326076158 
-1383.7260964328316 -195.9623356870902 ; -1385.6857197897025 -182.12507472276187 
1159.2944898146154 -1041.5448327394176 ; 1148.8790414872212 -1053.1377776375639 
1687.3543840570615 873.3832646459775 ; 1696.0882167035213 856.5097208054069 
-1733.6380713122614 -779.2836760811447 ; -1741.430908073073 -761.9472953680221 
988.7365176821959 689.4378649782213 ; 995.6308963319781 679.5504998013994 
1498.9829106597467 1639.4515407239012 ; 1515.3774260669857 1624.4617116173038 
-1083.866244835173 1282.6097847587034 ; -1071.0401469875858 1293.448447207055 
-952.1721754536667 -1411.0679549073784 ; -966.2828550027405 -1401.5462331528418 
-1558.059771481949 -67.49234919511329 ; -1558.7346949739 -51.9117514802938 
-124.80608942162269 436.7595116014233 ; -120.43849430560846 438.0075724956395 
1043.4677592239577 1352.7199677182075 ; 1056.9949589011399 1342.285290125968 
964.4097052406811 880.4688118267753 ; 973.2143933589489 870.8247147743685 
386.3310782957608 -789.6930459543382 ; 378.4341478362174 -793.5563567372958 
475.1370319764413 1571.684377533013 ; 490.8538757517714 1566.9330072132486 
996.7137946491357 -673.7595055108994 ; 989.9761995940268 -683.7266434573908 
-1141.6329409388711 -933.4332646756332 ; -1150.9672735856275 -922.0169352662444 
1369.9005826265397 1883.7715779033365 ; 1388.738298405573 1870.072572077071 
-1975.8919078055153 164.2643436332742 ; -1974.2492643691826 184.02326271132935 
94.82123048954772 1670.9142080993952 ; 111.53037257054167 1669.9659957944998 
861.0028424673711 59.65254040308065 ; 861.5993678714019 51.042511978406935 
-283.02780166526196 1796.207929787921 ; -265.06572236738276 1799.0382078045736 
-1861.4794108289325 -526.6322510946195 ; -1866.7457333398786 -508.01745698633016 
-1383.193503341524 293.7459113644934 ; -1380.256044227879 307.5778463979086 
-1112.5387921657127 -1707.1709516295357 ; -1129.6105016820081 -1696.0455637078785 
811.7935658794551 1713.2531877953695 ; 828.9260977574088 1705.135252136575 
1057.104322879488 -1925.9622822285821 ; 1037.8447000572023 -1936.533325457377 
-1109.384180064184 -1667.7953845148515 ; -1126.0621339093325 -1656.7015427142096 
-987.4264664740141 -930.5045359926908 ; -996.731511833941 -920.6302713279506 
143.36917217112654 -1361.204327555911 ; 129.75712889556743 -1362.6380192776223 
-330.54630268760627 1006.7026978818816 ; -320.47927570878744 1010.0081609087576 
-1638.7553814426008 240.67007733618132 ; -1636.348680669239 257.05763115060734 
1125.6416786015475 1103.7607826843926 ; 1136.6792864283914 1092.504365898377 
292.73720806191335 1227.8421989750195 ; 305.01563005166355 1224.9148268944004 
1534.2745605614084 1471.8789390696747 ; 1548.993349952105 1456.5361934640607 
-350.99427209241196 766.5190112615394 ; -343.32908197979657 770.0289539824635 
-923.5643764957294 -570.3714829949183 ; -929.2680913256786 -561.135839229961 
-990.5504148751157 -965.6726340841275 ; -1000.207141215957 -955.7671299353764 
-288.695182382349 1603.1963897281487 ; -272.66321848506755 1606.0833415519721 
-808.7543898108198 1245.8323439960693 ; -796.2960663708591 1253.9198878941775 
-0.5373791482393413 -113.70002018343715 ; -1.6743793500737127 -113.69464639195475 
1789.452433123368 -1232.2944710774082 ; 1777.1294884125941 -1250.1889954086419 
-1124.7211343715592 -62.33007634764475 ; -1125.3444351350356 -51.08286500392916 
-348.02951422223464 31.846860246994034 ; -347.7110456197647 35.32715538921638 
336.1476682066599 -712.5369906508882 ; 329.022298300151 -715.8984673329549 
-1669.7300669200604 1161.1675466077181 ; -1658.1183914539831 1177.8648472769187 
-99.82789469374188 -319.3707395424854 ; -103.02160208916673 -318.372460595548 
-1504.3839862791942 1270.8259881935414 ; -1491.6757263972588 1285.8698280563333 
838.2686668872193 877.7699829601361 ; 847.0463667168207 869.3872962912639 
-1731.9650522675427 -1352.7722352709409 ; -1745.492774620252 -1335.4525847482655 
-343.12694989639715 -1059.4246560666097 ; -353.72119645706323 -1055.9933865676458 
158.06985945824675 1707.5939969073158 ; 175.1457994273199 1706.0132983127335 
522.1584958275577 1591.408505487905 ; 538.0725808824367 1586.1869205296293 
1241.2611796335786 511.2456733992581 ; 1246.3736363675712 498.8330616029223 
-334.0035225764369 -1967.9216784743355 ; -353.68273936118027 -1964.5816432485713 
-33.40817408147627 -296.6301494512978 ; -36.374475575989244 -296.29606771048304 
-1414.7148394696976 112.43210114313102 ; -1413.5905184582664 126.57924953782799 
-1387.6223917528678 -611.1253418773308 ; -1393.733645171641 -597.2491179598021 
1856.3255040562774 -1404.8506010106162 ; 1842.2769980461712 -1423.413856051179 
-1219.7797510288551 -1829.352628019995 ; -1238.0732773090551 -1817.1548305097065 
-1734.1105120589882 1532.1672397467214 ; -1718.788839661521 1549.5083448673113 
1563.845286229969 1095.714790698718 ; 1574.802434136956 1080.0763378364181 
-327.6802835410831 -1444.3186109707144 ; -342.12346965079024 -1441.0418081353037 
-1886.1076724298987 -256.68268596636153 ; -1888.6744992895624 -237.82160924206255 
-455.4575588073358 -991.5205899454063 ; -465.37276470678984 -986.9660143573329 
1870.115075376742 300.6718752666277 ; 1873.1217941294083 281.9707245128603 
1927.4213246512227 493.1967838278476 ; 1932.3532924895012 473.9225705813354 
-1415.9748895626567 309.3363401645789 ; -1412.881526161011 323.4960890602055 
-1691.4636536343958 275.37324517475173 ; -1688.7099211826483 292.2878817110957 
-294.5576803790572 1517.104894049046 ; -279.3866314385668 1520.0504708528365 
-1721.9091549883003 -228.63858887726437 ; -1724.195540877073 -211.41949732738135 
-188.9803901177421 998.4172264765568 ; -178.99621785297654 1000.3070303777342 
-1369.7273350169876 339.3515052326671 ; -1366.333819964661 353.048778582837 
1098.2181278769283 -1290.7331067722944 ; 1085.3107968092054 -1301.7152880510637 
193.0696829401437 1074.7062200571902 ; 203.8167451407156 1072.7755232277887 
-1962.7288675597133 -1366.3192431416496 ; -1976.3920599911298 -1346.6919544660525 
-180.83814115373727 -945.6489455695902 ; -190.29463060943317 -943.8405641580528 
-22.43911457894494 1932.855892178657 ; -3.110555657158372 1933.0802833244466 
-1959.7021953557187 494.5685570912125 ; -1954.7565097848067 514.1655790447696 
-1079.9703186832382 2.107198757106582 ; -1079.9492466956672 12.906901943938966 
-68.85745315312845 -1796.4192854960193 ; -86.82164600808863 -1795.730710964488 
316.60754295506894 -1562.422371342706 ; 300.9833192416419 -1565.5884467722567 
-1706.8312785013663 -1807.241914470565 ; -1724.903697646072 -1790.1736016855514 
-978.6262536355856 -1550.294862016971 ; -994.1292022557553 -1540.508599480615 
-927.425546383952 -1990.452906697314 ; -947.3300754509252 -1981.1786512334743 
755.5427254190232 -1519.965394004537 ; 740.3430714789779 -1527.5208212587272 
-759.1731792300001 -1502.5830736638964 ; -774.199009966639 -1494.9913418715964 
40.538704414358875 -321.8189573039372 ; 37.3205148413195 -322.2243443480808 
1520.338572551812 -1433.4675798497776 ; 1506.0038967533142 -1448.6709655752957 
1888.6427468910188 -762.5290207813248 ; 1881.0174566832054 -781.4154482502349 
-1082.6236677713018 1559.1789648859592 ; -1067.0318781224423 1570.0052015636722 
873.0124490070015 818.3054590696945 ; 881.1955035976985 809.5753345796245 
-802.108308819329 -300.7507539395905 ; -805.1158163587248 -292.7296708513972 
1579.3829684104956 -415.62387651965696 ; 1575.226729645299 -431.4177062037619 
-1937.3489066934414 -942.9556115841575 ; -1946.778462809283 -923.5821225172231 
-76.88770501996808 -894.2366940739408 ; -85.83007196070749 -893.4678170237412 
-1584.7997605797505 1767.952827927574 ; -1567.1202323004748 1783.8008255333714 
1168.2269004254774 1852.7735328596361 ; 1186.754635754074 1841.0912638553814 
471.97963065160957 656.617507305385 ; 478.5458057246634 651.8977109988689 
-1403.5506256279582 -684.7814672465164 ; -1410.3984403004233 -670.7459609902368 
1216.7450336974819 -1242.4999470125917 ; 1204.320034227356 -1254.6673973495665 
1330.7079247913193 964.64666518782 ; 1340.3543914431975 951.3395859399068 
-1540.5934265583012 490.61355450480494 ; -1535.6872910132531 506.01948877038797 
1367.6746265693976 118.40597313049787 ; 1368.8586863007026 104.72922686480389 
1635.3703524453517 1193.57757339911 ; 1647.3061281793427 1177.2238698746564 
